month,node_name,item,value
2026-1 ,VIRTUAL_NODE,demand,0
2026-1 ,VIRTUAL_NODE,initial_inventory,50
2026-1 ,VIRTUAL_NODE,process_cost,120
2026-1 ,VIRTUAL_NODE,production,0
2026-1 ,VIRTUAL_NODE,purchase_cost,400
2026-1 ,VIRTUAL_NODE,sell_price,1000
2026-2 ,VIRTUAL_NODE,demand,0
2026-2 ,VIRTUAL_NODE,process_cost,120
2026-2 ,VIRTUAL_NODE,production,0
2026-2 ,VIRTUAL_NODE,purchase_cost,400
2026-2 ,VIRTUAL_NODE,sell_price,1000
2026-3 ,VIRTUAL_NODE,demand,0
2026-3 ,VIRTUAL_NODE,process_cost,120
2026-3 ,VIRTUAL_NODE,production,0
2026-3 ,VIRTUAL_NODE,purchase_cost,400
2026-3 ,VIRTUAL_NODE,sell_price,1000
2026-4 ,VIRTUAL_NODE,demand,50
2026-4 ,VIRTUAL_NODE,process_cost,120
2026-4 ,VIRTUAL_NODE,production,150
2026-4 ,VIRTUAL_NODE,purchase_cost,400
2026-4 ,VIRTUAL_NODE,sell_price,1000
2026-5 ,VIRTUAL_NODE,demand,50
2026-5 ,VIRTUAL_NODE,process_cost,120
2026-5 ,VIRTUAL_NODE,production,150
2026-5 ,VIRTUAL_NODE,purchase_cost,400
2026-5 ,VIRTUAL_NODE,sell_price,1000
2026-6 ,VIRTUAL_NODE,demand,60
2026-6 ,VIRTUAL_NODE,process_cost,120
2026-6 ,VIRTUAL_NODE,production,200
2026-6 ,VIRTUAL_NODE,purchase_cost,400
2026-6 ,VIRTUAL_NODE,sell_price,1000
2026-7 ,VIRTUAL_NODE,demand,90
2026-7 ,VIRTUAL_NODE,process_cost,120
2026-7 ,VIRTUAL_NODE,production,250
2026-7 ,VIRTUAL_NODE,purchase_cost,400
2026-7 ,VIRTUAL_NODE,sell_price,1000
2026-8 ,VIRTUAL_NODE,demand,130
2026-8 ,VIRTUAL_NODE,process_cost,120
2026-8 ,VIRTUAL_NODE,production,250
2026-8 ,VIRTUAL_NODE,purchase_cost,400
2026-8 ,VIRTUAL_NODE,sell_price,1000
2026-9 ,VIRTUAL_NODE,demand,190
2026-9 ,VIRTUAL_NODE,process_cost,120
2026-9 ,VIRTUAL_NODE,production,250
2026-9 ,VIRTUAL_NODE,purchase_cost,400
2026-9 ,VIRTUAL_NODE,sell_price,1000
2026-10 ,VIRTUAL_NODE,demand,260
2026-10 ,VIRTUAL_NODE,process_cost,120
2026-10 ,VIRTUAL_NODE,production,250
2026-10 ,VIRTUAL_NODE,purchase_cost,400
2026-10 ,VIRTUAL_NODE,sell_price,1000
2026-11 ,VIRTUAL_NODE,demand,320
2026-11 ,VIRTUAL_NODE,process_cost,120
2026-11 ,VIRTUAL_NODE,production,230
2026-11 ,VIRTUAL_NODE,purchase_cost,400
2026-11 ,VIRTUAL_NODE,sell_price,1000
2026-12 ,VIRTUAL_NODE,demand,300
2026-12 ,VIRTUAL_NODE,process_cost,120
2026-12 ,VIRTUAL_NODE,production,230
2026-12 ,VIRTUAL_NODE,purchase_cost,400
2026-12 ,VIRTUAL_NODE,sell_price,1000
2026-1 ,VIRTUAL_NODE,demand,250
2026-1 ,VIRTUAL_NODE,process_cost,120
2026-1 ,VIRTUAL_NODE,production,100
2026-1 ,VIRTUAL_NODE,purchase_cost,400
2026-1 ,VIRTUAL_NODE,sell_price,1000
2026-2 ,VIRTUAL_NODE,demand,210
2026-2 ,VIRTUAL_NODE,process_cost,120
2026-2 ,VIRTUAL_NODE,production,100
2026-2 ,VIRTUAL_NODE,purchase_cost,400
2026-2 ,VIRTUAL_NODE,sell_price,1000
2026-3 ,VIRTUAL_NODE,demand,170
2026-3 ,VIRTUAL_NODE,process_cost,120
2026-3 ,VIRTUAL_NODE,production,100
2026-3 ,VIRTUAL_NODE,purchase_cost,400
2026-3 ,VIRTUAL_NODE,sell_price,1000
2026-4 ,VIRTUAL_NODE,demand,130
2026-4 ,VIRTUAL_NODE,process_cost,120
2026-4 ,VIRTUAL_NODE,production,0
2026-4 ,VIRTUAL_NODE,purchase_cost,400
2026-4 ,VIRTUAL_NODE,sell_price,1000
2026-5 ,VIRTUAL_NODE,demand,100
2026-5 ,VIRTUAL_NODE,process_cost,120
2026-5 ,VIRTUAL_NODE,production,0
2026-5 ,VIRTUAL_NODE,purchase_cost,400
2026-5 ,VIRTUAL_NODE,sell_price,1000
2026-6 ,VIRTUAL_NODE,demand,80
2026-6 ,VIRTUAL_NODE,process_cost,120
2026-6 ,VIRTUAL_NODE,production,0
2026-6 ,VIRTUAL_NODE,purchase_cost,400
2026-6 ,VIRTUAL_NODE,sell_price,1000
