month,node_name,value
Jan-26,DAD_COLD_DC,200
Feb-26,DAD_COLD_DC,200
Mar-26,DAD_COLD_DC,200
Apr-26,DAD_COLD_DC,200
May-26,DAD_COLD_DC,200
Jun-26,DAD_COLD_DC,500
Jul-26,DAD_COLD_DC,500
Aug-26,DAD_COLD_DC,500
Sep-26,DAD_COLD_DC,500
Oct-26,DAD_COLD_DC,500
Nov-26,DAD_COLD_DC,500
Dec-26,DAD_COLD_DC,500
Jan-27,DAD_COLD_DC,500
Feb-27,DAD_COLD_DC,500
Mar-27,DAD_COLD_DC,500
Apr-27,DAD_COLD_DC,500
May-27,DAD_COLD_DC,500
Jun-27,DAD_COLD_DC,500
Jul-27,DAD_COLD_DC,500
Aug-27,DAD_COLD_DC,500
Sep-27,DAD_COLD_DC,500
Oct-27,DAD_COLD_DC,500
Nov-27,DAD_COLD_DC,500
Dec-27,DAD_COLD_DC,500
