month,node_name,item,value
Jan-26,DAD_COLD_DC,dc_capacity,200
Jan-26,DAD_COLD_DC,import_supply,120
Jan-26,DAD_COLD_DC,initial_inventory,0
Jan-26,MKT_HOSP,demand,40
Jan-26,MKT_HOSP,vaccination_capacity,10
Feb-26,DAD_COLD_DC,dc_capacity,200
Feb-26,DAD_COLD_DC,import_supply,120
Feb-26,MKT_HOSP,demand,45
Feb-26,MKT_HOSP,vaccination_capacity,20
Mar-26,DAD_COLD_DC,dc_capacity,200
Mar-26,DAD_COLD_DC,import_supply,140
Mar-26,MKT_HOSP,demand,55
Mar-26,MKT_HOSP,vaccination_capacity,40
Apr-26,DAD_COLD_DC,dc_capacity,200
Apr-26,DAD_COLD_DC,import_supply,140
Apr-26,MKT_HOSP,demand,65
Apr-26,MKT_HOSP,vaccination_capacity,60
May-26,DAD_COLD_DC,dc_capacity,200
May-26,DAD_COLD_DC,import_supply,160
May-26,MKT_HOSP,demand,75
May-26,MKT_HOSP,vaccination_capacity,80
Jun-26,DAD_COLD_DC,dc_capacity,500
Jun-26,DAD_COLD_DC,import_supply,160
Jun-26,MKT_HOSP,demand,85
Jun-26,MKT_HOSP,vaccination_capacity,100
Jul-26,DAD_COLD_DC,dc_capacity,500
Jul-26,DAD_COLD_DC,import_supply,120
Jul-26,MKT_HOSP,demand,80
Jul-26,MKT_HOSP,vaccination_capacity,110
Aug-26,DAD_COLD_DC,dc_capacity,500
Aug-26,DAD_COLD_DC,import_supply,100
Aug-26,MKT_HOSP,demand,70
Aug-26,MKT_HOSP,vaccination_capacity,120
Sep-26,DAD_COLD_DC,dc_capacity,500
Sep-26,DAD_COLD_DC,import_supply,80
Sep-26,MKT_HOSP,demand,60
Sep-26,MKT_HOSP,vaccination_capacity,120
Oct-26,DAD_COLD_DC,dc_capacity,500
Oct-26,DAD_COLD_DC,import_supply,60
Oct-26,MKT_HOSP,demand,55
Oct-26,MKT_HOSP,vaccination_capacity,120
Nov-26,DAD_COLD_DC,dc_capacity,500
Nov-26,DAD_COLD_DC,import_supply,40
Nov-26,MKT_HOSP,demand,50
Nov-26,MKT_HOSP,vaccination_capacity,120
Dec-26,DAD_COLD_DC,dc_capacity,500
Dec-26,DAD_COLD_DC,import_supply,20
Dec-26,MKT_HOSP,demand,45
Dec-26,MKT_HOSP,vaccination_capacity,120
Jan-27,DAD_COLD_DC,dc_capacity,500
Jan-27,DAD_COLD_DC,import_supply,0
Jan-27,MKT_HOSP,demand,35
Jan-27,MKT_HOSP,vaccination_capacity,120
Feb-27,DAD_COLD_DC,dc_capacity,500
Feb-27,DAD_COLD_DC,import_supply,0
Feb-27,MKT_HOSP,demand,35
Feb-27,MKT_HOSP,vaccination_capacity,120
Mar-27,DAD_COLD_DC,dc_capacity,500
Mar-27,DAD_COLD_DC,import_supply,0
Mar-27,MKT_HOSP,demand,35
Mar-27,MKT_HOSP,vaccination_capacity,120
Apr-27,DAD_COLD_DC,dc_capacity,500
Apr-27,DAD_COLD_DC,import_supply,0
Apr-27,MKT_HOSP,demand,0
Apr-27,MKT_HOSP,vaccination_capacity,120
May-27,DAD_COLD_DC,dc_capacity,500
May-27,DAD_COLD_DC,import_supply,0
May-27,MKT_HOSP,demand,0
May-27,MKT_HOSP,vaccination_capacity,120
Jun-27,DAD_COLD_DC,dc_capacity,500
Jun-27,DAD_COLD_DC,import_supply,0
Jun-27,MKT_HOSP,demand,0
Jun-27,MKT_HOSP,vaccination_capacity,120
Jul-27,DAD_COLD_DC,dc_capacity,500
Jul-27,DAD_COLD_DC,import_supply,0
Jul-27,MKT_HOSP,demand,0
Jul-27,MKT_HOSP,vaccination_capacity,120
Aug-27,DAD_COLD_DC,dc_capacity,500
Aug-27,DAD_COLD_DC,import_supply,0
Aug-27,MKT_HOSP,demand,0
Aug-27,MKT_HOSP,vaccination_capacity,120
Sep-27,DAD_COLD_DC,dc_capacity,500
Sep-27,DAD_COLD_DC,import_supply,0
Sep-27,MKT_HOSP,demand,0
Sep-27,MKT_HOSP,vaccination_capacity,120
Oct-27,DAD_COLD_DC,dc_capacity,500
Oct-27,DAD_COLD_DC,import_supply,0
Oct-27,MKT_HOSP,demand,0
Oct-27,MKT_HOSP,vaccination_capacity,120
Nov-27,DAD_COLD_DC,dc_capacity,500
Nov-27,DAD_COLD_DC,import_supply,0
Nov-27,MKT_HOSP,demand,0
Nov-27,MKT_HOSP,vaccination_capacity,120
Dec-27,DAD_COLD_DC,dc_capacity,500
Dec-27,DAD_COLD_DC,import_supply,0
Dec-27,MKT_HOSP,demand,0
Dec-27,MKT_HOSP,vaccination_capacity,120
