month,node_name,item,value
26-Jan,VIRTUAL_NODE,dc_capacity,200
26-Jan,VIRTUAL_NODE,production,120
26-Jan,VIRTUAL_NODE,initial_inventory,0
26-Jan,VIRTUAL_NODE,demand,40
26-Jan,VIRTUAL_NODE,vaccination_capacity,10
26-Feb,VIRTUAL_NODE,dc_capacity,200
26-Feb,VIRTUAL_NODE,production,120
26-Feb,VIRTUAL_NODE,demand,45
26-Feb,VIRTUAL_NODE,vaccination_capacity,20
26-Mar,VIRTUAL_NODE,dc_capacity,200
26-Mar,VIRTUAL_NODE,production,140
26-Mar,VIRTUAL_NODE,demand,55
26-Mar,VIRTUAL_NODE,vaccination_capacity,40
26-Apr,VIRTUAL_NODE,dc_capacity,200
26-Apr,VIRTUAL_NODE,production,140
26-Apr,VIRTUAL_NODE,demand,65
26-Apr,VIRTUAL_NODE,vaccination_capacity,60
26-May,VIRTUAL_NODE,dc_capacity,200
26-May,VIRTUAL_NODE,production,160
26-May,VIRTUAL_NODE,demand,75
26-May,VIRTUAL_NODE,vaccination_capacity,80
26-Jun,VIRTUAL_NODE,dc_capacity,500
26-Jun,VIRTUAL_NODE,production,160
26-Jun,VIRTUAL_NODE,demand,85
26-Jun,VIRTUAL_NODE,vaccination_capacity,100
26-Jul,VIRTUAL_NODE,dc_capacity,500
26-Jul,VIRTUAL_NODE,production,120
26-Jul,VIRTUAL_NODE,demand,80
26-Jul,VIRTUAL_NODE,vaccination_capacity,110
26-Aug,VIRTUAL_NODE,dc_capacity,500
26-Aug,VIRTUAL_NODE,production,100
26-Aug,VIRTUAL_NODE,demand,70
26-Aug,VIRTUAL_NODE,vaccination_capacity,120
26-Sep,VIRTUAL_NODE,dc_capacity,500
26-Sep,VIRTUAL_NODE,production,80
26-Sep,VIRTUAL_NODE,demand,60
26-Sep,VIRTUAL_NODE,vaccination_capacity,120
26-Oct,VIRTUAL_NODE,dc_capacity,500
26-Oct,VIRTUAL_NODE,production,60
26-Oct,VIRTUAL_NODE,demand,55
26-Oct,VIRTUAL_NODE,vaccination_capacity,120
26-Nov,VIRTUAL_NODE,dc_capacity,500
26-Nov,VIRTUAL_NODE,production,40
26-Nov,VIRTUAL_NODE,demand,50
26-Nov,VIRTUAL_NODE,vaccination_capacity,120
26-Dec,VIRTUAL_NODE,dc_capacity,500
26-Dec,VIRTUAL_NODE,production,20
26-Dec,VIRTUAL_NODE,demand,45
26-Dec,VIRTUAL_NODE,vaccination_capacity,120
27-Jan,VIRTUAL_NODE,dc_capacity,500
27-Jan,VIRTUAL_NODE,production,0
27-Jan,VIRTUAL_NODE,demand,35
27-Jan,VIRTUAL_NODE,vaccination_capacity,120
27-Feb,VIRTUAL_NODE,dc_capacity,500
27-Feb,VIRTUAL_NODE,production,0
27-Feb,VIRTUAL_NODE,demand,35
27-Feb,VIRTUAL_NODE,vaccination_capacity,120
27-Mar,VIRTUAL_NODE,dc_capacity,500
27-Mar,VIRTUAL_NODE,production,0
27-Mar,VIRTUAL_NODE,demand,35
27-Mar,VIRTUAL_NODE,vaccination_capacity,120
27-Apr,VIRTUAL_NODE,dc_capacity,500
27-Apr,VIRTUAL_NODE,production,0
27-Apr,VIRTUAL_NODE,demand,0
27-Apr,VIRTUAL_NODE,vaccination_capacity,120
27-May,VIRTUAL_NODE,dc_capacity,500
27-May,VIRTUAL_NODE,production,0
27-May,VIRTUAL_NODE,demand,0
27-May,VIRTUAL_NODE,vaccination_capacity,120
27-Jun,VIRTUAL_NODE,dc_capacity,500
27-Jun,VIRTUAL_NODE,production,0
27-Jun,VIRTUAL_NODE,demand,0
27-Jun,VIRTUAL_NODE,vaccination_capacity,120
27-Jul,VIRTUAL_NODE,dc_capacity,500
27-Jul,VIRTUAL_NODE,production,0
27-Jul,VIRTUAL_NODE,demand,0
27-Jul,VIRTUAL_NODE,vaccination_capacity,120
27-Aug,VIRTUAL_NODE,dc_capacity,500
27-Aug,VIRTUAL_NODE,production,0
27-Aug,VIRTUAL_NODE,demand,0
27-Aug,VIRTUAL_NODE,vaccination_capacity,120
27-Sep,VIRTUAL_NODE,dc_capacity,500
27-Sep,VIRTUAL_NODE,production,0
27-Sep,VIRTUAL_NODE,demand,0
27-Sep,VIRTUAL_NODE,vaccination_capacity,120
27-Oct,VIRTUAL_NODE,dc_capacity,500
27-Oct,VIRTUAL_NODE,production,0
27-Oct,VIRTUAL_NODE,demand,0
27-Oct,VIRTUAL_NODE,vaccination_capacity,120
27-Nov,VIRTUAL_NODE,dc_capacity,500
27-Nov,VIRTUAL_NODE,production,0
27-Nov,VIRTUAL_NODE,demand,0
27-Nov,VIRTUAL_NODE,vaccination_capacity,120
27-Dec,VIRTUAL_NODE,dc_capacity,500
27-Dec,VIRTUAL_NODE,production,0
27-Dec,VIRTUAL_NODE,demand,0
27-Dec,VIRTUAL_NODE,vaccination_capacity,120
