month,node_name,item,value
2025-01,VIRTUAL_NODE,initial_inventory,150
2025-01,VIRTUAL_NODE,demand,100
2025-02,VIRTUAL_NODE,demand,100
2025-03,VIRTUAL_NODE,demand,100
2025-04,VIRTUAL_NODE,demand,99
2025-05,VIRTUAL_NODE,demand,99
2025-06,VIRTUAL_NODE,demand,99
2025-07,VIRTUAL_NODE,demand,99
2025-08,VIRTUAL_NODE,demand,98
2025-09,VIRTUAL_NODE,demand,98
2025-10,VIRTUAL_NODE,demand,98
2025-11,VIRTUAL_NODE,demand,98
2025-12,VIRTUAL_NODE,demand,97
2026-01,VIRTUAL_NODE,demand,97
2026-02,VIRTUAL_NODE,demand,97
2026-03,VIRTUAL_NODE,demand,97
2026-04,VIRTUAL_NODE,demand,96
2026-05,VIRTUAL_NODE,demand,96
2026-06,VIRTUAL_NODE,demand,96
2026-07,VIRTUAL_NODE,demand,96
2026-08,VIRTUAL_NODE,demand,96
2026-09,VIRTUAL_NODE,demand,96
2026-10,VIRTUAL_NODE,demand,96
2026-11,VIRTUAL_NODE,demand,96
2026-12,VIRTUAL_NODE,demand,96

2025-01,VIRTUAL_NODE,production,0
2025-02,VIRTUAL_NODE,production,0
2025-03,VIRTUAL_NODE,production,0
2025-04,VIRTUAL_NODE,production,0
2025-05,VIRTUAL_NODE,production,0
2025-06,VIRTUAL_NODE,production,0
2025-07,VIRTUAL_NODE,production,0
2025-08,VIRTUAL_NODE,production,0
2025-09,VIRTUAL_NODE,production,600
2025-10,VIRTUAL_NODE,production,400
2025-11,VIRTUAL_NODE,production,0
2025-12,VIRTUAL_NODE,production,0
2026-01,VIRTUAL_NODE,production,0
2026-02,VIRTUAL_NODE,production,0
2026-03,VIRTUAL_NODE,production,0
2026-04,VIRTUAL_NODE,production,0
2026-05,VIRTUAL_NODE,production,0
2026-06,VIRTUAL_NODE,production,0
2026-07,VIRTUAL_NODE,production,0
2026-08,VIRTUAL_NODE,production,0
2026-09,VIRTUAL_NODE,production,580
2026-10,VIRTUAL_NODE,production,380
2026-11,VIRTUAL_NODE,production,0
2026-12,VIRTUAL_NODE,production,0

2025-01,VIRTUAL_NODE,capacity,0
2025-02,VIRTUAL_NODE,capacity,0
2025-03,VIRTUAL_NODE,capacity,0
2025-04,VIRTUAL_NODE,capacity,0
2025-05,VIRTUAL_NODE,capacity,0
2025-06,VIRTUAL_NODE,capacity,0
2025-07,VIRTUAL_NODE,capacity,0
2025-08,VIRTUAL_NODE,capacity,0
2025-09,VIRTUAL_NODE,capacity,650
2025-10,VIRTUAL_NODE,capacity,450
2025-11,VIRTUAL_NODE,capacity,0
2025-12,VIRTUAL_NODE,capacity,0
2026-01,VIRTUAL_NODE,capacity,0
2026-02,VIRTUAL_NODE,capacity,0
2026-03,VIRTUAL_NODE,capacity,0
2026-04,VIRTUAL_NODE,capacity,0
2026-05,VIRTUAL_NODE,capacity,0
2026-06,VIRTUAL_NODE,capacity,0
2026-07,VIRTUAL_NODE,capacity,0
2026-08,VIRTUAL_NODE,capacity,0
2026-09,VIRTUAL_NODE,capacity,630
2026-10,VIRTUAL_NODE,capacity,430
2026-11,VIRTUAL_NODE,capacity,0
2026-12,VIRTUAL_NODE,capacity,0
