month,node_name,item,value
2025-01,VIRTUAL_NODE,demand,0
2025-01,VIRTUAL_NODE,initial_inventory,50
2025-01,VIRTUAL_NODE,production,0
2026-01,VIRTUAL_NODE,demand,250
2026-01,VIRTUAL_NODE,production,100
2025-02,VIRTUAL_NODE,demand,0
2025-02,VIRTUAL_NODE,production,0
2026-02,VIRTUAL_NODE,demand,210
2026-02,VIRTUAL_NODE,production,100
2025-03,VIRTUAL_NODE,demand,0
2025-03,VIRTUAL_NODE,production,0
2026-03,VIRTUAL_NODE,demand,170
2026-03,VIRTUAL_NODE,production,100
2025-04,VIRTUAL_NODE,demand,50
2025-04,VIRTUAL_NODE,production,150
2026-04,VIRTUAL_NODE,demand,130
2026-04,VIRTUAL_NODE,production,0
2025-05,VIRTUAL_NODE,demand,50
2025-05,VIRTUAL_NODE,production,150
2026-05,VIRTUAL_NODE,demand,100
2026-05,VIRTUAL_NODE,production,0
2025-06,VIRTUAL_NODE,demand,60
2025-06,VIRTUAL_NODE,production,200
2026-06,VIRTUAL_NODE,demand,80
2026-06,VIRTUAL_NODE,production,0
2025-07,VIRTUAL_NODE,demand,90
2025-07,VIRTUAL_NODE,production,250
2025-08,VIRTUAL_NODE,demand,130
2025-08,VIRTUAL_NODE,production,250
2025-09,VIRTUAL_NODE,demand,190
2025-09,VIRTUAL_NODE,production,250
2025-10,VIRTUAL_NODE,demand,260
2025-10,VIRTUAL_NODE,production,250
2025-11,VIRTUAL_NODE,demand,320
2025-11,VIRTUAL_NODE,production,230
2025-12,VIRTUAL_NODE,demand,300
2025-12,VIRTUAL_NODE,production,230
