month,node_name,item,value
2026-1-,GLOBAL,demand,0.0
2026-1-,GLOBAL,planning_S,0.0
2026-1-,GLOBAL,production,100.0
2026-1-,GLOBAL,sell_price,1000.0
2026-10,GLOBAL,demand,260.0
2026-10,GLOBAL,planning_S,260.0
2026-10,GLOBAL,production,250.0
2026-10,GLOBAL,sell_price,1000.0
2026-11,GLOBAL,demand,320.0
2026-11,GLOBAL,planning_S,320.0
2026-11,GLOBAL,production,230.0
2026-11,GLOBAL,sell_price,1000.0
2026-12,GLOBAL,demand,300.0
2026-12,GLOBAL,planning_S,300.0
2026-12,GLOBAL,production,230.0
2026-12,GLOBAL,sell_price,1000.0
2026-2-,GLOBAL,demand,0.0
2026-2-,GLOBAL,planning_S,0.0
2026-2-,GLOBAL,production,100.0
2026-2-,GLOBAL,sell_price,1000.0
2026-3-,GLOBAL,demand,0.0
2026-3-,GLOBAL,planning_S,0.0
2026-3-,GLOBAL,production,100.0
2026-3-,GLOBAL,sell_price,1000.0
2026-4-,GLOBAL,demand,0.0
2026-4-,GLOBAL,planning_S,450.0
2026-4-,GLOBAL,production,150.0
2026-4-,GLOBAL,sell_price,1000.0
2026-5-,GLOBAL,demand,50.0
2026-5-,GLOBAL,planning_S,50.0
2026-5-,GLOBAL,production,150.0
2026-5-,GLOBAL,sell_price,1000.0
2026-6-,GLOBAL,demand,60.0
2026-6-,GLOBAL,planning_S,60.0
2026-6-,GLOBAL,production,200.0
2026-6-,GLOBAL,sell_price,1000.0
2026-7-,GLOBAL,demand,90.0
2026-7-,GLOBAL,planning_S,90.0
2026-7-,GLOBAL,production,250.0
2026-7-,GLOBAL,sell_price,1000.0
2026-8-,GLOBAL,demand,130.0
2026-8-,GLOBAL,planning_S,130.0
2026-8-,GLOBAL,production,250.0
2026-8-,GLOBAL,sell_price,1000.0
2026-9-,GLOBAL,demand,190.0
2026-9-,GLOBAL,planning_S,190.0
2026-9-,GLOBAL,production,300.0
2026-9-,GLOBAL,sell_price,1000.0
2027-1-,GLOBAL,demand,250.0
2027-1-,GLOBAL,planning_S,250.0
2027-1-,GLOBAL,production,200.0
