month,demand,production,sales,inventory,backlog,waste,over_i,cap_P,cap_S,cap_I
2026-01,250.0,100.0,150.0,0.0,100.0,0.0,0.0,230.0,300.0,500.0
2026-02,210.0,100.0,100.0,0.0,210.0,0.0,0.0,230.0,300.0,500.0
2026-03,170.0,100.0,100.0,0.0,280.0,0.0,0.0,230.0,300.0,500.0
2026-04,130.0,0.0,0.0,0.0,410.0,0.0,0.0,230.0,300.0,500.0
2026-05,100.0,0.0,0.0,0.0,510.0,0.0,0.0,230.0,300.0,500.0
2026-06,80.0,0.0,0.0,0.0,590.0,0.0,0.0,230.0,300.0,500.0
2026-07,90.0,250.0,250.0,0.0,430.0,0.0,0.0,,,
2026-08,130.0,250.0,250.0,0.0,310.0,0.0,0.0,,,
2026-09,190.0,250.0,250.0,0.0,250.0,0.0,0.0,,,
2026-10,260.0,250.0,250.0,0.0,260.0,0.0,0.0,,,
2026-11,320.0,230.0,230.0,0.0,350.0,0.0,0.0,,,
2026-12,300.0,230.0,230.0,0.0,420.0,0.0,0.0,,,500.0
