month,node_name,item,value
Jan-26,VIRTUAL_NODE,demand,0
Jan-26,VIRTUAL_NODE,initial_inventory,50
Jan-26,VIRTUAL_NODE,process_cost,120
Jan-26,VIRTUAL_NODE,production,0
Jan-26,VIRTUAL_NODE,purchase_cost,400
Jan-26,VIRTUAL_NODE,sell_price,1000
Feb-26,VIRTUAL_NODE,demand,0
Feb-26,VIRTUAL_NODE,process_cost,120
Feb-26,VIRTUAL_NODE,production,0
Feb-26,VIRTUAL_NODE,purchase_cost,400
Feb-26,VIRTUAL_NODE,sell_price,1000
Mar-26,VIRTUAL_NODE,demand,0
Mar-26,VIRTUAL_NODE,process_cost,120
Mar-26,VIRTUAL_NODE,production,0
Mar-26,VIRTUAL_NODE,purchase_cost,400
Mar-26,VIRTUAL_NODE,sell_price,1000
Apr-26,VIRTUAL_NODE,demand,50
Apr-26,VIRTUAL_NODE,process_cost,120
Apr-26,VIRTUAL_NODE,production,150
Apr-26,VIRTUAL_NODE,purchase_cost,400
Apr-26,VIRTUAL_NODE,sell_price,1000
May-26,VIRTUAL_NODE,demand,50
May-26,VIRTUAL_NODE,process_cost,120
May-26,VIRTUAL_NODE,production,150
May-26,VIRTUAL_NODE,purchase_cost,400
May-26,VIRTUAL_NODE,sell_price,1000
Jun-26,VIRTUAL_NODE,demand,60
Jun-26,VIRTUAL_NODE,process_cost,120
Jun-26,VIRTUAL_NODE,production,200
Jun-26,VIRTUAL_NODE,purchase_cost,400
Jun-26,VIRTUAL_NODE,sell_price,1000
Jul-26,VIRTUAL_NODE,demand,90
Jul-26,VIRTUAL_NODE,process_cost,120
Jul-26,VIRTUAL_NODE,production,250
Jul-26,VIRTUAL_NODE,purchase_cost,400
Jul-26,VIRTUAL_NODE,sell_price,1000
Aug-26,VIRTUAL_NODE,demand,130
Aug-26,VIRTUAL_NODE,process_cost,120
Aug-26,VIRTUAL_NODE,production,250
Aug-26,VIRTUAL_NODE,purchase_cost,400
Aug-26,VIRTUAL_NODE,sell_price,1000
Sep-26,VIRTUAL_NODE,demand,190
Sep-26,VIRTUAL_NODE,process_cost,120
Sep-26,VIRTUAL_NODE,production,250
Sep-26,VIRTUAL_NODE,purchase_cost,400
Sep-26,VIRTUAL_NODE,sell_price,1000
Oct-26,VIRTUAL_NODE,demand,260
Oct-26,VIRTUAL_NODE,process_cost,120
Oct-26,VIRTUAL_NODE,production,250
Oct-26,VIRTUAL_NODE,purchase_cost,400
Oct-26,VIRTUAL_NODE,sell_price,1000
Nov-26,VIRTUAL_NODE,demand,320
Nov-26,VIRTUAL_NODE,process_cost,120
Nov-26,VIRTUAL_NODE,production,230
Nov-26,VIRTUAL_NODE,purchase_cost,400
Nov-26,VIRTUAL_NODE,sell_price,1000
Dec-26,VIRTUAL_NODE,demand,300
Dec-26,VIRTUAL_NODE,process_cost,120
Dec-26,VIRTUAL_NODE,production,230
Dec-26,VIRTUAL_NODE,purchase_cost,400
Dec-26,VIRTUAL_NODE,sell_price,1000
Jan-26,VIRTUAL_NODE,demand,250
Jan-26,VIRTUAL_NODE,process_cost,120
Jan-26,VIRTUAL_NODE,production,100
Jan-26,VIRTUAL_NODE,purchase_cost,400
Jan-26,VIRTUAL_NODE,sell_price,1000
Feb-26,VIRTUAL_NODE,demand,210
Feb-26,VIRTUAL_NODE,process_cost,120
Feb-26,VIRTUAL_NODE,production,100
Feb-26,VIRTUAL_NODE,purchase_cost,400
Feb-26,VIRTUAL_NODE,sell_price,1000
Mar-26,VIRTUAL_NODE,demand,170
Mar-26,VIRTUAL_NODE,process_cost,120
Mar-26,VIRTUAL_NODE,production,100
Mar-26,VIRTUAL_NODE,purchase_cost,400
Mar-26,VIRTUAL_NODE,sell_price,1000
Apr-26,VIRTUAL_NODE,demand,130
Apr-26,VIRTUAL_NODE,process_cost,120
Apr-26,VIRTUAL_NODE,production,0
Apr-26,VIRTUAL_NODE,purchase_cost,400
Apr-26,VIRTUAL_NODE,sell_price,1000
May-26,VIRTUAL_NODE,demand,100
May-26,VIRTUAL_NODE,process_cost,120
May-26,VIRTUAL_NODE,production,0
May-26,VIRTUAL_NODE,purchase_cost,400
May-26,VIRTUAL_NODE,sell_price,1000
Jun-26,VIRTUAL_NODE,demand,80
Jun-26,VIRTUAL_NODE,process_cost,120
Jun-26,VIRTUAL_NODE,production,0
Jun-26,VIRTUAL_NODE,purchase_cost,400
Jun-26,VIRTUAL_NODE,sell_price,1000
