month,Revenue,Process_Cost,Purchase_Cost,Holding_Cost,Promotion_Cost,Profit,ProfitRate
2026-01,0.0,0.0,40000.0,500.0,0.0,-40500.0,0.0
2026-02,0.0,0.0,40000.0,1500.0,0.0,-41500.0,0.0
2026-03,0.0,0.0,40000.0,2500.0,0.0,-42500.0,0.0
2026-04,450000.0,54000.0,60000.0,3500.0,13500.0,319000.0,0.7088888888888889
2026-05,50000.0,6000.0,60000.0,0.0,1500.0,-17500.0,-0.35
2026-06,60000.0,7200.0,80000.0,1000.0,1800.0,-30000.0,-0.5
2026-07,90000.0,10800.0,100000.0,2400.0,2700.0,-25900.0,-0.2877777777777778
2026-08,130000.0,15600.0,100000.0,4000.0,3900.0,6500.0,0.05
2026-09,190000.0,22800.0,120000.0,5200.0,5700.0,36300.0,0.19105263157894736
2026-10,260000.0,31200.0,100000.0,6300.0,7800.0,114700.0,0.4411538461538462
2026-11,320000.0,38400.0,92000.0,6200.0,9600.0,173800.0,0.543125
2026-12,300000.0,36000.0,92000.0,5300.0,9000.0,157700.0,0.5256666666666666
2027-01,225000.0,30000.0,80000.0,4600.0,6750.0,103650.0,0.46066666666666667
2027-02,189000.0,25200.0,80000.0,4100.0,5670.0,74030.0,0.3916931216931217
2027-03,153000.0,20400.0,0.0,4000.0,4590.0,124010.0,0.8105228758169934
2027-04,104000.0,15600.0,0.0,2300.0,3120.0,82980.0,0.7978846153846154
2027-05,80000.0,12000.0,0.0,1000.0,2400.0,64600.0,0.8075
2027-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
