month,demand,production,sales,inventory,backlog,waste,over_i,cap_P,cap_S,cap_I
2025-01,0.0,0.0,0.0,50.0,0.0,0.0,0.0,230.0,300.0,200.0
2025-02,0.0,0.0,0.0,50.0,0.0,0.0,0.0,230.0,300.0,200.0
2025-03,0.0,0.0,0.0,50.0,0.0,0.0,0.0,230.0,300.0,200.0
2025-04,50.0,150.0,50.0,150.0,0.0,0.0,0.0,230.0,300.0,200.0
2025-05,50.0,150.0,50.0,250.0,0.0,0.0,50.0,230.0,300.0,200.0
2025-06,60.0,200.0,60.0,390.0,0.0,0.0,0.0,230.0,300.0,500.0
2025-07,90.0,250.0,90.0,530.0,0.0,0.0,30.0,230.0,300.0,500.0
2025-08,130.0,250.0,130.0,630.0,0.0,0.0,130.0,230.0,300.0,500.0
2025-09,190.0,250.0,190.0,670.0,0.0,0.0,170.0,230.0,300.0,500.0
2025-10,260.0,250.0,260.0,640.0,0.0,0.0,140.0,230.0,300.0,500.0
2025-11,320.0,230.0,300.0,570.0,20.0,0.0,70.0,230.0,300.0,500.0
2025-12,300.0,230.0,300.0,500.0,20.0,0.0,0.0,230.0,300.0,
2026-01,250.0,100.0,270.0,330.0,0.0,0.0,0.0,230.0,300.0,500.0
2026-02,210.0,100.0,210.0,220.0,0.0,0.0,0.0,230.0,300.0,500.0
2026-03,170.0,100.0,170.0,150.0,0.0,0.0,0.0,230.0,300.0,500.0
2026-04,130.0,0.0,130.0,20.0,0.0,0.0,0.0,230.0,300.0,500.0
2026-05,100.0,0.0,20.0,0.0,80.0,0.0,0.0,230.0,300.0,500.0
2026-06,80.0,0.0,0.0,0.0,160.0,0.0,0.0,230.0,300.0,500.0
